Time,L1,L2,L3,label
2024-06-06 01:01:00,1570.0,1810.0,1380.0,0
2024-06-06 01:02:00,1560.0,1750.0,1420.0,0
2024-06-06 01:03:00,1550.0,1640.0,2910.0,0
2024-06-06 01:04:00,1550.0,1800.0,1020.0,0
2024-06-06 01:05:00,1490.0,1780.0,1720.0,0
2024-06-06 01:06:00,1460.0,1760.0,2100.0,0
2024-06-06 01:07:00,1450.0,2000.0,1760.0,0
2024-06-06 01:08:00,1440.0,1930.0,1800.0,0
2024-06-06 01:09:00,1540.0,1880.0,2220.0,0
2024-06-06 01:10:00,1530.0,1920.0,2490.0,0
2024-06-06 01:11:00,1520.0,1840.0,1850.0,0
2024-06-06 01:12:00,1550.0,1760.0,1380.0,0
2024-06-06 01:13:00,1520.0,1730.0,1890.0,0
2024-06-06 01:14:00,967.0,1100.0,1160.0,1
2024-06-06 01:15:00,965.0,1120.0,1880.0,1
2024-06-06 01:16:00,958.0,1100.0,1070.0,1
2024-06-06 01:17:00,964.0,1010.0,1150.0,1
2024-06-06 01:18:00,967.0,1090.0,1140.0,1
2024-06-06 01:19:00,541.0,1090.0,1890.0,1
2024-06-06 01:20:00,548.0,1340.0,2140.0,1
2024-06-06 01:21:00,537.0,1260.0,1510.0,1
2024-06-06 01:22:00,549.0,1100.0,1960.0,1
2024-06-06 01:23:00,742.0,1120.0,1870.0,1
2024-06-06 01:24:00,1320.0,1770.0,1520.0,0
2024-06-06 01:25:00,1330.0,1780.0,1640.0,0
2024-06-06 01:26:00,1340.0,1790.0,1760.0,0
2024-06-06 01:27:00,1340.0,1850.0,1390.0,0
2024-06-06 01:28:00,1340.0,1690.0,1900.0,0
2024-06-06 01:29:00,1350.0,1730.0,2110.0,0
2024-06-06 01:30:00,1360.0,1760.0,2490.0,0
2024-06-06 01:31:00,1400.0,1940.0,2130.0,0
2024-06-06 01:32:00,1380.0,1870.0,2040.0,0
2024-06-06 01:33:00,1390.0,1720.0,2540.0,0
2024-06-06 01:34:00,1330.0,1830.0,1760.0,0
2024-06-06 01:35:00,1280.0,721.0,593.0,1
2024-06-06 01:36:00,1260.0,703.0,612.0,1
2024-06-06 01:37:00,1360.0,707.0,645.0,1
2024-06-06 01:38:00,1340.0,713.0,645.0,1
2024-06-06 01:39:00,1380.0,716.0,632.0,1
2024-06-06 01:40:00,1350.0,712.0,631.0,1
2024-06-06 01:41:00,1360.0,697.0,625.0,1
2024-06-06 01:42:00,1310.0,690.0,629.0,1
2024-06-06 01:43:00,1340.0,692.0,609.0,1
2024-06-06 01:44:00,1330.0,688.0,612.0,1
2024-06-06 01:45:00,1280.0,694.0,591.0,1
2024-06-06 01:46:00,1360.0,718.0,625.0,1
2024-06-06 01:47:00,1380.0,720.0,618.0,1
2024-06-06 01:48:00,1360.0,709.0,622.0,1
2024-06-06 01:49:00,769.0,0.342,-0.419,1
2024-06-06 01:50:00,752.0,0.482,-0.508,1
2024-06-06 01:51:00,751.0,0.37,-0.589,1
2024-06-06 01:52:00,767.0,0.373,-0.483,1
2024-06-06 01:53:00,766.0,0.419,-0.56,1
2024-06-06 01:54:00,761.0,0.441,-0.514,1
2024-06-06 01:55:00,767.0,0.395,-0.463,1
2024-06-06 01:56:00,1300.0,671.0,555.0,1
2024-06-06 01:57:00,1290.0,658.0,568.0,1
2024-06-06 01:58:00,1300.0,658.0,568.0,1
2024-06-06 01:59:00,1320.0,690.0,590.0,1
2024-06-06 02:00:00,1300.0,667.0,549.0,1
2024-06-06 02:01:00,1290.0,645.0,565.0,1
2024-06-06 02:02:00,1290.0,656.0,575.0,1
2024-06-06 02:03:00,1280.0,659.0,563.0,1
2024-06-06 02:04:00,1290.0,641.0,546.0,1
2024-06-06 02:05:00,1290.0,640.0,568.0,1
2024-06-06 02:06:00,753.0,0.342,-0.777,1
2024-06-06 02:07:00,750.0,0.434,-0.958,1
2024-06-06 02:08:00,765.0,0.397,-0.844,1
2024-06-06 02:09:00,766.0,0.427,-0.812,1
2024-06-06 02:10:00,768.0,0.437,-0.822,1
2024-06-06 02:11:00,766.0,0.469,-0.478,1
2024-06-06 02:12:00,1300.0,657.0,560.0,1
2024-06-06 02:13:00,1330.0,676.0,582.0,1
2024-06-06 02:14:00,1440.0,793.0,682.0,1
2024-06-06 02:15:00,1380.0,737.0,652.0,1
2024-06-06 02:16:00,1290.0,712.0,612.0,1
2024-06-06 02:17:00,1330.0,701.0,611.0,1
2024-06-06 02:18:00,1380.0,734.0,630.0,1
2024-06-06 02:19:00,1390.0,726.0,624.0,1
2024-06-06 02:20:00,1360.0,715.0,611.0,1
2024-06-06 02:21:00,1280.0,699.0,599.0,1
2024-06-06 02:22:00,767.0,0.517,-0.485,1
2024-06-06 02:23:00,764.0,0.515,-0.491,1
2024-06-06 02:24:00,763.0,0.574,-0.504,1
2024-06-06 02:25:00,769.0,0.505,-0.475,1
2024-06-06 02:26:00,765.0,0.525,-0.501,1
2024-06-06 02:27:00,764.0,0.492,-0.486,1
2024-06-06 02:28:00,764.0,0.536,-0.525,1
2024-06-06 02:29:00,1240.0,673.0,571.0,1
2024-06-06 02:30:00,1270.0,702.0,601.0,1
2024-06-06 02:31:00,1290.0,715.0,620.0,1
2024-06-06 02:32:00,1390.0,751.0,661.0,1
